area_code,postal_code
212,10001
332,10001
646,10001
917,10001
213,90001
310,90001
323,90001
661,90001
747,90001
818,90001
312,60601
773,60601
872,60601
281,77001
346,77001
713,77001
832,77001
480,85001
602,85001
623,85001
928,85001
215,19101
267,19101
445,19101
484,19101
610,19101
717,19101
835,19101
878,19101
210,78201
726,78201
619,92101
858,92101
214,75201
469,75201
972,75201
408,95101
669,95101
512,78701
737,78701
904,76101
386,76101
682,32201
817,32201
614,43201
415,94101
628,94101
704,28201
980,28201
317,46201
206,98101
253,98101
360,98101
425,98101
564,98101
303,80201
720,80201
202,20001
